万得代码,交易所代码,自然日,订单时间,买卖方向,成交价格,订单数量,明细个数,订单明细,
300446.SZ,300446,20171229,94703000,66,216500,1,1,500,
300446.SZ,300446,20171229,94715000,65,216900,2,2,300,500,
300446.SZ,300446,20171229,94715000,66,216800,1,1,4600,
300446.SZ,300446,20171229,94724000,65,216900,2,2,100,500,
300446.SZ,300446,20171229,94724000,66,216800,1,1,1400,
300446.SZ,300446,20171229,94730000,65,216900,2,2,100,500,
300446.SZ,300446,20171229,94730000,66,216800,1,1,600,
300446.SZ,300446,20171229,94733000,65,216900,2,2,100,500,
300446.SZ,300446,20171229,94733000,66,216800,1,1,200,
300446.SZ,300446,20171229,94745000,65,216800,1,1,600,
300446.SZ,300446,20171229,94745000,66,216500,2,2,500,1300,
300446.SZ,300446,20171229,94748000,65,216800,1,1,600,
300446.SZ,300446,20171229,94748000,66,216500,2,2,400,1300,
300446.SZ,300446,20171229,94754000,65,216800,1,1,300,
300446.SZ,300446,20171229,94754000,66,216500,1,1,400,
300446.SZ,300446,20171229,94757000,65,216800,1,1,300,
300446.SZ,300446,20171229,94757000,66,216500,2,2,300,600,
300446.SZ,300446,20171229,94800000,65,216800,2,2,300,500,
300446.SZ,300446,20171229,94800000,66,216500,2,2,300,600,
300446.SZ,300446,20171229,94803000,65,216800,2,2,300,500,
300446.SZ,300446,20171229,94803000,66,216500,1,1,300,
300446.SZ,300446,20171229,94815000,65,216800,3,3,300,500,1400,
300446.SZ,300446,20171229,94815000,66,216600,1,1,5000,
300446.SZ,300446,20171229,94821000,65,216700,1,1,800,
300446.SZ,300446,20171229,94821000,66,216600,1,1,5000,
300446.SZ,300446,20171229,94830000,65,216700,1,1,300,
300446.SZ,300446,20171229,94830000,66,216600,1,1,5000,
300446.SZ,300446,20171229,94839000,65,216800,3,3,300,500,1400,
300446.SZ,300446,20171229,94839000,66,216700,1,1,200,
300446.SZ,300446,20171229,94848000,65,216700,1,1,100,
300446.SZ,300446,20171229,94848000,66,216600,2,2,5000,200,
300446.SZ,300446,20171229,94851000,65,216800,1,1,1000,
300446.SZ,300446,20171229,94851000,66,216600,2,2,3900,200,
300446.SZ,300446,20171229,94930000,65,216800,1,1,1000,
300446.SZ,300446,20171229,94930000,66,216600,2,2,1300,200,
300446.SZ,300446,20171229,94933000,65,216700,1,1,1400,
300446.SZ,300446,20171229,94933000,66,216600,2,2,1300,200,
300446.SZ,300446,20171229,94936000,65,216700,1,1,1400,
300446.SZ,300446,20171229,94936000,66,216600,3,3,1300,200,2000,
300446.SZ,300446,20171229,94948000,65,216700,1,1,1400,
300446.SZ,300446,20171229,94948000,66,216600,3,3,900,200,2000,
