万得代码,交易所代码,自然日,订单时间,买卖方向,成交价格,订单数量,明细个数,订单明细,
603538.SH,603538,20171229,101018000,65,267900,1,1,400,
603538.SH,603538,20171229,101018000,66,267200,5,5,100,100,400,1000,1000,
603538.SH,603538,20171229,101018000,65,267900,1,1,400,
603538.SH,603538,20171229,101033000,66,267300,1,1,100,
603538.SH,603538,20171229,101018000,65,267900,1,1,400,
603538.SH,603538,20171229,101036000,66,267300,2,2,100,100,
603538.SH,603538,20171229,101045000,65,267900,2,2,400,100,
603538.SH,603538,20171229,101036000,66,267300,2,2,100,100,
603538.SH,603538,20171229,101054000,65,267900,3,3,400,100,2000,
603538.SH,603538,20171229,101036000,66,267300,2,2,100,100,
603538.SH,603538,20171229,101100000,65,267900,4,4,400,100,2000,300,
603538.SH,603538,20171229,101036000,66,267300,2,2,100,100,
603538.SH,603538,20171229,101112000,65,267800,1,1,1000,
603538.SH,603538,20171229,101112000,66,267300,1,1,100,
603538.SH,603538,20171229,101112000,65,267800,1,1,1000,
603538.SH,603538,20171229,101118000,66,267300,2,2,100,500,
603538.SH,603538,20171229,101112000,65,267800,1,1,1000,
603538.SH,603538,20171229,101121000,66,267300,4,4,100,500,300,100,
603538.SH,603538,20171229,101112000,65,267800,1,1,1000,
603538.SH,603538,20171229,101139000,66,267300,3,3,300,300,100,
603538.SH,603538,20171229,101142000,65,267700,1,1,500,
603538.SH,603538,20171229,101139000,66,267300,3,3,300,300,100,
603538.SH,603538,20171229,101154000,65,267300,1,1,3700,
603538.SH,603538,20171229,101154000,66,267200,4,4,100,400,1000,1000,
603538.SH,603538,20171229,101209000,65,267700,2,2,500,100,
603538.SH,603538,20171229,101154000,66,267200,4,4,100,400,1000,1000,
603538.SH,603538,20171229,101209000,65,267700,2,2,500,100,
603538.SH,603538,20171229,101212000,66,267300,1,1,100,
603538.SH,603538,20171229,101230000,65,267700,3,3,500,100,100,
603538.SH,603538,20171229,101212000,66,267300,1,1,100,
603538.SH,603538,20171229,101230000,65,267700,3,3,500,100,100,
603538.SH,603538,20171229,101233000,66,267300,2,2,100,200,
603538.SH,603538,20171229,101239000,65,267700,2,2,500,100,
603538.SH,603538,20171229,101233000,66,267300,2,2,100,200,
603538.SH,603538,20171229,101248000,65,267700,3,3,500,100,1500,
603538.SH,603538,20171229,101233000,66,267300,2,2,100,200,
603538.SH,603538,20171229,101248000,65,267700,3,3,500,100,1500,
603538.SH,603538,20171229,101254000,66,267300,2,2,200,100,
603538.SH,603538,20171229,101312000,65,267700,2,2,100,1500,
603538.SH,603538,20171229,101254000,66,267300,2,2,200,100,
603538.SH,603538,20171229,101321000,65,267300,1,1,1700,
603538.SH,603538,20171229,101321000,66,267200,4,4,100,400,1000,1000,
603538.SH,603538,20171229,101330000,65,267300,2,2,1700,300,
603538.SH,603538,20171229,101321000,66,267200,4,4,100,400,1000,1000,
603538.SH,603538,20171229,101333000,65,267700,1,1,300,
603538.SH,603538,20171229,101321000,66,267200,4,4,100,400,1000,1000,
603538.SH,603538,20171229,101333000,65,267700,1,1,300,
603538.SH,603538,20171229,101345000,66,267200,2,2,900,1000,
603538.SH,603538,20171229,101333000,65,267700,1,1,300,
603538.SH,603538,20171229,101357000,66,267000,8,8,6000,500,100,300,300,1000,500,1000,
603538.SH,603538,20171229,101333000,65,267700,1,1,300,
